PLAYERID,PLAYER,SALARY,POS,TEAM,OPP,SCHEDULE_ID,PARTNERID,INJURY,MINUTES,PTS,REB,AST,3PM,TO,STL,BLK,P-A,P-R,P-R-A,B-S,R-A,2PA,2PM,3PA,FTA,FTM,FGA,FGM,UD,PP,FPTS,FLOOR,CEIL,OPTO,PERFECT,SMASH,SIM15TH,SIM33RD,SIM50TH,SIM66TH,SIM85TH,SIM90TH,SIM99TH,POWN,TEAM_ID,OPP_TEAM_ID,SLATE,CORE_ID,REFID,RGID,OWNERSHIP
2439149,"Isaiah Joe",,,OKC,GSW,162848,1134010,,24,11.8,2.96,1.67,2.89,0.72,1.25,0.19,13.47,14.76,16.43,1.44,4.63,2.01,0.89,7.04,1.54,1.34,9.05,3.78,21.46,21.46,21.97,14.86,30,12.56,12.56,0,14.9,18.94,21.97,25.25,30.3,32.32,41.41,12.38%,148,150,SAT,87355,166,2439149,
3005501,"Aaron Wiggins",,,OKC,GSW,162848,1133788,,22.5,9.56,3.35,1.98,1.49,1.68,1.21,0.19,11.54,12.91,14.89,1.4,5.33,4.57,2.02,3.97,1.34,1.05,8.54,3.51,19.07,19.07,19.43,13.18,26.55,5.33,5.33,0,13.2,16.69,19.43,22.17,26.65,28.15,36.62,1.30%,148,150,SAT,70247,167,3005501,
3588097,"Jaylin Williams",,,OKC,GSW,162848,1231367,,22.5,8.14,6.8,3.2,1.67,1.34,0.71,0.71,11.34,14.94,18.14,1.42,10,2.01,0.91,4.55,1.69,1.31,6.56,2.58,24.02,24.02,24.54,17.88,32.12,14.89,14.89,0,17.85,21.57,24.54,27.51,32.22,34.46,43.38,8.11%,148,150,SAT,92186,168,3588097,
3588100,"Chet Holmgren",,,OKC,GSW,162848,1343009,,30,15.69,11.85,1.94,1.33,1.61,0.71,1.63,17.63,27.54,29.48,2.34,13.79,7.57,3.84,3.84,5.11,4.01,11.41,5.17,38.23,38.23,39.02,30.47,47.83,30.66,30.66,0,30.73,35.61,39.02,42.68,48.04,49.99,59.51,18.43%,148,150,SAT,179602,170,3588100,
4878543,"Cason Wallace",,,OKC,GSW,162848,1408195,,31.5,11.28,3.8,3.39,1.78,1.37,1.9,0.37,14.67,15.08,18.47,2.27,7.19,5.64,2.55,5.02,1.08,0.83,10.66,4.33,26.37,26.37,25.87,18.69,33.84,11.28,11.28,0,18.66,22.64,25.87,28.85,33.58,35.57,44.53,10.11%,148,150,SAT,245049,171,4878543,
6413122,"Nikola Topic",,,OKC,GSW,162848,1432174,,2,0.72,0.28,0.39,0.09,0.17,0.01,0.01,1.11,1,1.39,0.02,0.67,0.5,0.22,0.23,0,0,0.73,0.31,1.53,1.53,1.66,0.55,3.35,0,0,0,0,0,1.66,2.21,3.87,4.7,7.75,0.46%,148,150,SAT,368368,173,6413122,
6413162,"Jared McCain",,,OKC,GSW,162848,1458807,,22.5,12.02,3.06,1.2,1.96,1.55,0.99,0.07,13.22,15.08,16.28,1.06,4.26,4.99,2.24,5.07,1.89,1.67,10.06,4.2,19.12,19.12,19.97,13.36,27.4,22.62,22.62,0,13.23,16.97,19.97,22.72,27.46,29.46,37.44,30.41%,148,150,SAT,281664,174,6413162,
37841,"Jonathan Isaac",,,ORL,MIN,162843,940823,,4,0.79,0.99,0.17,0.08,0.1,0.12,0.21,0.96,1.78,1.95,0.33,1.16,0.41,0.17,0.3,0.3,0.19,0.71,0.25,3.12,3.12,2.93,0.95,5.8,0,0,0,1.07,2.13,2.93,4,5.59,6.39,10.39,0.00%,138,146,SAT,38274,180,37841,
408878,"Wendell Carter Jr.",,,ORL,MIN,162843,1060912,,28.5,10.8,8.06,1.6,0.94,1.12,0.67,0.34,12.4,18.86,20.46,1.01,9.66,5.51,2.7,3.12,3.42,2.58,8.63,3.64,24.78,24.78,25.47,18.86,33.32,0,0,0,18.73,22.47,25.47,28.47,33.21,34.96,43.45,0.00%,138,146,SAT,75319,181,408878,
409100,"Jevon Carter",,,ORL,MIN,162843,843794,,19,6.5,1.85,2.21,1.58,0.6,1.03,0.36,8.71,8.35,10.56,1.39,4.06,1.86,0.71,4.44,0.41,0.35,6.3,2.29,15.61,15.61,15.4,9.62,22.02,0,0,0,9.59,12.88,15.4,17.92,21.96,23.98,31.56,0.00%,138,146,SAT,69672,182,409100,
