PLAYERID,PLAYER,SALARY,POS,TEAM,OPP,SCHEDULE_ID,PARTNERID,INJURY,MINUTES,PTS,REB,AST,3PM,TO,STL,BLK,P-A,P-R,P-R-A,B-S,R-A,2PA,2PM,3PA,FTA,FTM,FGA,FGM,UD,PP,FPTS,FPTS/$,POWN,TEAM_ID,OPP_TEAM_ID,SLATE,CORE_ID,REFID,RGID,FLOOR,CEIL,OPTO,PERFECT,SMASH,SIM15TH,SIM33RD,SIM50TH,SIM66TH,SIM85TH,SIM90TH,SIM99TH,OWNERSHIP
408971,Luka Doncic,12100,PG,LAL,MIA,166061,1121277,,37.5,33.94,8.46,7.52,4.3,4.06,1.5,0.83,41.46,42.4,49.92,2.33,15.98,12.83,6.01,11.67,11.55,9.02,24.5,10.31,58.3,58.3,61.19,5.06,15.28%,152,137,THURS,75290,105,408971,49.86,73.27,15.93,15.93,21.32,49.94,56.4,61.19,65.98,73.48,76.58,90.04,
409024,Jarred Vanderbilt,3000,PF,LAL,MIA,166061,1067852,,1,0.17,0.24,0.06,0.02,0.03,0.02,0.02,0.23,0.41,0.47,0.04,0.3,0.1,0.05,0.07,0.05,0.03,0.17,0.07,0.64,0.64,0.64,0.21,0.39%,152,137,THURS,69989,106,409024,0.64,0.64,0,0,0,0.27,0.46,0.64,0.82,1.1,1.17,1.22,
409301,Deandre Ayton,5100,C,LAL,MIA,166061,1061507,,29,10.49,9.42,0.82,0.05,0.72,0.46,0.88,11.31,19.91,20.73,1.34,10.24,7.59,4.76,0.25,1.26,0.82,7.84,4.81,26.32,26.32,26.19,5.14,19.70%,152,137,THURS,75293,107,409301,19.52,33.97,11.29,11.29,13.99,19.77,23.37,26.19,29.27,34.15,36.2,44.16,
1115368,Rui Hachimura,3800,SF/PF,LAL,MIA,166061,955893,,24,7.83,2.58,0.63,1.15,0.33,0.4,0.12,8.46,10.41,11.04,0.52,3.21,3.53,1.82,2.65,0.96,0.74,6.18,2.97,13.1,13.1,13.45,3.54,0.46%,152,137,THURS,72577,108,1115368,8.15,19.5,0.34,0.34,0.66,8.12,11.17,13.45,15.57,19.54,21.06,27.92,
1115443,Jaxson Hayes,3500,C,LAL,MIA,166061,1140887,,14,5.04,2.97,0.44,0.01,0.23,0.4,0.25,5.48,8.01,8.45,0.65,3.41,2.78,1.97,0.03,1.63,1.05,2.81,1.98,10.98,10.98,10.6,3.03,0.05%,152,137,THURS,71368,109,1115443,6.52,15.35,0.02,0.02,0.02,6.46,8.79,10.6,12.41,15.77,16.8,21.72,
3012783,Austin Reaves,8000,PG/SG,LAL,MIA,166061,953291,,37,22.44,4.59,4.79,2.7,2.68,1.29,0.56,27.23,27.03,31.82,1.85,9.38,8.87,4.2,7.27,6.83,5.94,16.14,6.9,38,38,39.13,4.89,18.23%,152,137,THURS,91245,110,3012783,30.26,48.79,13.97,13.97,12.04,30.29,35.34,39.13,42.92,48.98,51.25,61.1,
3587973,Jake LaRavia,3400,SG/SF,LAL,MIA,166061,1175125,,14,4.45,2.44,1.14,0.59,0.55,0.6,0.11,5.59,6.89,8.03,0.71,3.58,1.91,0.83,1.66,1.38,1.04,3.57,1.42,10.67,10.67,10.65,3.13,0.05%,152,137,THURS,89808,111,3587973,6.28,15.81,0.13,0.13,0.09,6.34,8.62,10.65,12.68,15.98,17.24,23.07,
18908,Norman Powell,6700,SG/SF,MIA,LAL,166061,609861,,31.5,21.99,3.92,2.68,3,1.98,1.07,0.27,24.67,25.91,28.59,1.34,6.6,8.89,4.15,7.55,5.76,4.69,16.44,7.15,32.75,32.75,34.11,5.09,23.55%,137,152,THURS,12083,124,18908,25.59,43.49,23.18,23.18,14.71,25.84,30.67,34.11,38.24,43.93,46.51,57.63,
37835,Bam Adebayo,8900,PF/C,MIA,LAL,166061,957486,,33,22.1,9.12,2.61,1.82,1.82,1.87,0.82,24.71,31.22,33.83,2.69,11.73,12.61,5.84,5.4,6.54,4.96,18.01,7.66,43.21,43.21,43.37,4.87,17.03%,137,152,THURS,38289,125,37835,34.14,53.25,12.54,12.54,12.2,34.24,39.57,43.37,47.43,53.26,55.8,65.44,
1115334,Tyler Herro,8200,PG/SG,MIA,LAL,166061,1134176,,32,20.71,4.98,4.3,2.42,2.36,0.69,0.34,25.01,25.69,29.99,1.03,9.28,9.88,4.75,6.36,4.4,3.93,16.24,7.17,33.87,33.87,35.52,4.33,1.43%,137,152,THURS,69990,126,1115334,27.01,44.81,1.68,1.68,4.1,26.77,31.83,35.52,39.12,44.79,46.85,57.66,
3005605,Davion Mitchell,4700,PG,MIA,LAL,166061,1061659,,25.5,6.85,2.86,5.14,1.01,1.15,0.64,0.08,11.99,9.71,14.85,0.72,8,3.23,1.6,2.46,0.95,0.64,5.69,2.61,19,19,19.52,4.15,0.05%,137,152,THURS,71674,127,3005605,13.56,26.26,1.41,1.41,2.47,13.69,16.98,19.52,22.31,26.36,28.14,36.76,
3080547,Dru Smith,3200,PG,MIA,LAL,166061,953243,,1,0.28,0.17,0.15,0.03,0.04,0.06,0.01,0.43,0.45,0.6,0.07,0.32,0.14,0.06,0.09,0.08,0.07,0.23,0.09,0.88,0.88,0.85,0.27,0.42%,137,152,THURS,71988,128,3080547,0.85,0.85,0,0,0,0.36,0.61,0.85,1.09,1.46,1.55,1.62,
3587871,Nikola Jovic,3000,PF/C,MIA,LAL,166061,1349630,,1,0.35,0.13,0.11,0.06,0.05,0.03,0.02,0.46,0.48,0.59,0.05,0.24,0.14,0.06,0.19,0.09,0.07,0.33,0.12,0.77,0.77,0.78,0.26,0.29%,137,152,THURS,195263,129,3587871,0.78,0.78,0,0,0,0.33,0.56,0.78,1,1.34,1.42,1.49,
3622168,Simone Fontecchio,3400,PF,MIA,LAL,166061,1314104,,10,4.17,1.39,0.65,0.81,0.32,0.29,0.03,4.82,5.56,6.21,0.32,2.04,1.27,0.51,2.28,0.87,0.73,3.55,1.32,7.45,7.45,7.77,2.29,0.20%,137,152,THURS,231042,130,3622168,3.68,12.8,0,0,0.01,3.75,5.89,7.77,9.65,12.86,14.2,20.63,
4878449,Jaime Jaquez,6200,SF,MIA,LAL,166061,1176708,Q,29,12.74,4.16,5.4,0.59,1.88,0.66,0.35,18.14,16.9,22.3,1.01,9.56,8.77,4.18,2,3.41,2.61,10.77,4.77,26.98,26.98,27.47,4.43,0.05%,137,152,THURS,90829,131,4878449,20.57,35.13,2.82,2.82,4.92,20.35,24.42,27.47,30.52,35.1,36.88,45.28,
6413019,Pelle Larsson,5200,SG/SF,MIA,LAL,166061,1231950,,31,10.7,3.77,3.33,1.09,1.52,0.69,0.32,14.03,14.47,17.8,1.01,7.1,4.96,2.36,3.25,3.51,2.7,8.21,3.45,21.73,21.73,22.22,4.27,0.05%,137,152,THURS,149713,132,6413019,15.76,29.31,1.72,1.72,3.5,15.58,19.41,22.22,25.03,29.37,31.41,40.61,
6413020,Kel'el Ware,6300,C,MIA,LAL,166061,1405458,,27.5,10.98,10.91,0.64,0.98,0.8,1.03,1.1,11.62,21.89,22.53,2.13,11.55,6.54,3.49,2.77,1.44,1.07,9.31,4.47,30.62,30.62,30.46,4.83,10.90%,137,152,THURS,244931,133,6413020,22.76,39.1,16.33,16.33,8.83,22.66,26.94,30.46,33.73,38.77,41.03,50.1,
8985737,Kasparas Jakucionis,3500,PG,MIA,LAL,166061,1448788,,16.5,8.43,2.12,2.03,1.8,1.08,0.6,0.14,10.46,10.55,12.58,0.74,4.15,2.23,0.97,5.19,1.33,1.1,7.42,2.77,15.16,15.16,15.97,4.56,1.34%,137,152,THURS,455379,135,8985737,10,22.79,5.19,5.19,5.84,10.05,13.39,15.97,18.8,22.92,24.75,32.97,
9458423,Myron Gardner,3100,SG/SF,MIA,LAL,166061,1197462,,2,0.84,0.28,0.18,0.07,0.1,0.07,0.02,1.02,1.12,1.3,0.09,0.46,0.46,0.2,0.2,0.27,0.2,0.66,0.27,1.62,1.62,1.63,0.53,0.44%,137,152,THURS,93173,137,9458423,0.25,3.1,0,0,0,0,0,1.63,2.61,4.56,5.54,9.13,
18617,Gary Harris,3000,SG/SF,MIL,UTA,166062,712593,,1,0.21,0.12,0.08,0.05,0.03,0.04,0.02,0.29,0.33,0.41,0.06,0.2,0.05,0.02,0.13,0.02,0.01,0.18,0.07,0.62,0.62,0.61,0.2,0.00%,134,149,THURS,12531,141,18617,0.61,0.61,0,0,0,0.26,0.44,0.61,0.78,1.05,1.11,1.16,
18909,Bobby Portis,6400,PF/C,MIL,UTA,166062,750703,,26,17.95,7.81,1.71,2.54,1.65,0.84,0.4,19.66,25.76,27.47,1.24,9.52,9.21,4.56,5.89,1.59,1.21,15.1,7.1,31.96,31.96,33.49,5.23,0.00%,134,149,THURS,12075,142,18909,24.86,42.71,0,0,0,24.8,29.66,33.49,37.32,42.69,44.99,54.96,
18915,Myles Turner,5000,C,MIL,UTA,166062,843762,Q,24,9.86,4.55,1.47,1.52,0.84,0.51,1.09,11.33,14.41,15.88,1.6,6.02,3.69,1.7,3.91,2.5,1.9,7.6,3.22,21.49,21.49,21.3,4.26,0.00%,134,149,THURS,12071,143,18915,14.84,28.5,0,0,0,14.78,18.29,21.3,24.06,28.32,30.32,38.59,
35218,Taurean Prince,4100,SF,MIL,UTA,166062,696209,,22,7.14,2.8,1.36,1.62,0.79,0.73,0.34,8.5,9.94,11.3,1.07,4.16,2.04,0.9,3.71,0.57,0.48,5.75,2.52,14.96,14.96,15.24,3.72,0.00%,134,149,THURS,28064,145,35218,9.43,22,0,0,0,9.56,12.66,15.24,17.82,22.21,23.76,32.03,
37886,Kyle Kuzma,5100,SF/PF,MIL,UTA,166062,844476,,24,12.58,3.8,2.34,1.23,1.98,0.75,0.24,14.92,16.38,18.72,0.99,6.14,7.06,3.36,3.7,3.15,2.18,10.76,4.59,21.64,21.64,22.45,4.4,0.00%,134,149,THURS,38296,147,37886,15.76,29.87,0,0,0,15.64,19.42,22.45,24.97,29.51,31.53,39.86,
1115225,Kevin Porter Jr.,8000,PG,MIL,UTA,166062,1135158,Q,32,21.69,5.46,7.41,1.64,3.55,1.85,0.46,29.1,27.15,34.56,2.31,12.87,12.77,5.94,5.09,5.84,4.88,17.86,7.58,42.74,42.74,43.55,5.44,0.00%,134,149,THURS,86566,149,1115225,34.38,53.67,0,0,0,34.42,39.64,43.55,47.46,53.46,56.33,67.02,
3005097,Cam Thomas,3900,PG/SG,MIL,UTA,166062,1232020,,1,0.81,0.06,0.09,0.08,0.07,0.02,0.01,0.9,0.87,0.96,0.03,0.15,0.4,0.17,0.24,0.26,0.22,0.64,0.25,1.04,1.04,1.09,0.28,0.00%,134,149,THURS,149404,150,3005097,0.9,2.07,0,0,0,0.47,0.78,1.09,1.4,1.87,1.99,2.08,
3005115,Jericho Sims,4200,C,MIL,UTA,166062,1071933,,16,4.25,4.54,1.08,0,0.61,0.08,0.36,5.33,8.79,9.87,0.44,5.62,2.46,1.89,0,0.77,0.47,2.46,1.89,12.03,12.03,12.12,2.89,0.00%,134,149,THURS,71367,151,3005115,7.78,17.03,0,0,0,7.74,10.31,12.12,14.18,17.28,18.57,23.98,
